date,open,low,high,close,volume
2014-10-09,"4,868","4,868","5,175","4,948",20.2675896
2014-10-10,"4,940","4,831.5","5,000","5,000",15.00159034
2014-10-11,"4,953.5","4,945","5,065","5,050",4.09908578
2014-10-12,"5,050","5,005","5,130","5,078.5",2.77441205
2014-10-13,"5,214","5,115","5,370","5,240",7.95569737
2014-10-14,"5,390","5,315","5,650","5,625",26.89159591
2014-10-15,"5,490","5,335","5,555","5,495",13.94384559
2014-10-16,"5,495","5,101","5,495","5,206",21.64177825
2014-10-17,"5,208","5,095","5,235","5,125",13.81100721
2014-10-18,"5,125","5,125","5,225","5,200",6.846207
2014-10-19,"5,124","5,116","5,229","5,116",4.61718
2014-10-20,"5,116","5,015","5,230","5,030",17.880664
2014-10-21,"5,030","5,010","5,205","5,150",7.77290218
2014-10-22,"5,150","5,030","5,185","5,069.25",9.51446166
2014-10-23,"5,025","4,777","5,100","4,905",16.74887391
2014-10-24,"4,711","4,700","4,825","4,825",5.14329613
2014-10-25,"4,775","4,685.01","4,829","4,735",6.11492647
2014-10-26,"4,736","4,736","4,800","4,800",0.63473571
2014-10-27,"4,798","4,710","4,825","4,740",9.30406522
2014-10-28,"4,725.01","4,610.75","4,825","4,615",13.9385022
2014-10-29,"4,610.75","4,444","4,700","4,615",14.43764564
2014-10-30,"4,615","4,347.5","4,695","4,687",13.22722122
2014-10-31,"4,645","4,405","4,685","4,460",18.57891044
2014-11-01,"4,400","4,260","4,495","4,465",6.10926294
2014-11-02,"4,249.05","4,205","4,467.95","4,265",1.40852078
2014-11-03,"4,251","4,000","4,468","4,390",20.23790519
2014-11-04,"4,412","4,136","4,685","4,685",28.63032793
2014-11-05,"4,390","4,295","4,685.75","4,630",13.25223182
2014-11-06,"4,500","4,500","4,799","4,600",15.62805229
2014-11-07,"4,575","4,510","4,765","4,759",14.1227344
2014-11-08,"4,759","4,665","4,759","4,698",1.86754702
2014-11-09,"4,698","4,698","5,405","4,805",10.53938265
2014-11-10,"4,927","4,927","5,060","5,060",6.98540757
2014-11-11,"4,990","4,925","5,190","5,100",17.84583229
2014-11-12,"5,189","5,012","6,060","5,901",23.1815693
2014-11-13,"5,901","5,435","6,249","5,625",14.89515204
2014-11-14,"5,605","5,350","5,750","5,350",25.1181982
2014-11-15,"5,355","5,320","5,564","5,400",4.42149603
2014-11-16,"5,400","5,200","5,554","5,450",3.98098498
2014-11-17,"5,527","5,000","5,799","5,385",11.593111
2014-11-18,"5,385","5,000","5,400","5,195",25.65054532
2014-11-19,"5,235","4,980","5,285","5,230",10.05258486
2014-11-20,"5,260","4,841","5,295","4,945",12.27732428
2014-11-21,"4,835","4,800","4,899","4,803",8.53613942
2014-11-22,"4,824","4,785","4,930","4,835",3.9566252
2014-11-23,"4,800","4,751","4,980","4,857.1",7.22409244
2014-11-24,"4,999","4,900","5,350","5,250",22.43187766
